precision, recall, f1-score, support

Action, 0.74, 0.54, 0.62, 397
Adventure, 0.53, 0.28, 0.37, 257
Animation, 0.79, 0.32, 0.46, 149
Comedy, 0.68, 0.57, 0.62, 483
Crime, 0.72, 0.43, 0.54, 195
Documentary, 1.00, 0.06, 0.12, 31
Drama, 0.69, 0.59, 0.63, 593
Family, 0.80, 0.40, 0.53, 214
Fantasy, 0.78, 0.23, 0.36, 167
History, 0.62, 0.14, 0.24, 69
Horror, 0.73, 0.47, 0.57, 213
Music, 0.75, 0.25, 0.38, 48
Mystery, 0.40, 0.14, 0.20, 124
Romance, 0.68, 0.43, 0.53, 242
Science Fiction, 0.75, 0.45, 0.56, 179
TV Movie, 1.00, 0.02, 0.04, 48
Thriller, 0.63, 0.44, 0.52, 405
War, 0.62, 0.28, 0.39, 46
Western, 0.89, 0.27, 0.41, 30

micro avg, 0.69, 0.43, 0.53, 3890
macro avg, 0.73, 0.33, 0.43, 3890
weighted avg, 0.69, 0.43, 0.52, 3890
samples avg, 0.62, 0.47, 0.50, 3890
