,precision,recall,f1-score,support
Action,0.716,0.4508816120906801,0.5533230293663061,397.0
Adventure,0.4787234042553192,0.17509727626459143,0.2564102564102564,257.0
Animation,0.6790123456790124,0.3691275167785235,0.4782608695652174,149.0
Comedy,0.6225165562913907,0.38923395445134573,0.4789808917197452,483.0
Crime,0.6290322580645161,0.4,0.4890282131661442,195.0
Documentary,0.7777777777777778,0.22580645161290322,0.35,31.0
Drama,0.6690821256038647,0.4671163575042159,0.5501489572989077,593.0
Family,0.6484375,0.3878504672897196,0.4853801169590643,214.0
Fantasy,0.6857142857142857,0.2874251497005988,0.4050632911392405,167.0
History,0.5333333333333333,0.11594202898550725,0.19047619047619047,69.0
Horror,0.6691176470588235,0.4272300469483568,0.5214899713467048,213.0
Music,0.5217391304347826,0.5,0.5106382978723404,48.0
Mystery,0.47058823529411764,0.06451612903225806,0.11347517730496454,124.0
Romance,0.6222222222222222,0.34710743801652894,0.44562334217506633,242.0
Science Fiction,0.7065217391304348,0.36312849162011174,0.4797047970479705,179.0
TV Movie,0.5,0.020833333333333332,0.04,48.0
Thriller,0.609375,0.3851851851851852,0.4720121028744327,405.0
War,0.43243243243243246,0.34782608695652173,0.3855421686746988,46.0
Western,0.7857142857142857,0.36666666666666664,0.5,30.0
micro avg,0.6408640864086409,0.3660668380462725,0.46596858638743455,3890.0
macro avg,0.6188073831056106,0.32057758907563405,0.40555566702090795,3890.0
weighted avg,0.6323840890812125,0.3660668380462725,0.45616213288981605,3890.0
samples avg,0.6475740886441121,0.39204126984126986,0.4257513227513227,3890.0
