,precision,recall,f1-score,support
Action,0.7166666666666667,0.4332493702770781,0.5400313971742543,397.0
Adventure,0.5454545454545454,0.16342412451361868,0.25149700598802394,257.0
Animation,0.6582278481012658,0.348993288590604,0.45614035087719296,149.0
Comedy,0.610738255033557,0.37681159420289856,0.4660691421254802,483.0
Crime,0.6239316239316239,0.37435897435897436,0.46794871794871795,195.0
Documentary,0.7142857142857143,0.16129032258064516,0.2631578947368421,31.0
Drama,0.6700251889168766,0.448566610455312,0.5373737373737374,593.0
Family,0.6416666666666667,0.3598130841121495,0.46107784431137727,214.0
Fantasy,0.6666666666666666,0.2634730538922156,0.3776824034334764,167.0
History,0.5,0.10144927536231885,0.1686746987951807,69.0
Horror,0.6833333333333333,0.38497652582159625,0.4924924924924925,213.0
Music,0.5454545454545454,0.5,0.5217391304347826,48.0
Mystery,0.5555555555555556,0.04032258064516129,0.07518796992481203,124.0
Romance,0.6209677419354839,0.3181818181818182,0.4207650273224044,242.0
Science Fiction,0.7380952380952381,0.3463687150837989,0.4714828897338403,179.0
TV Movie,0.5,0.041666666666666664,0.07692307692307693,48.0
Thriller,0.6131687242798354,0.36790123456790125,0.45987654320987653,405.0
War,0.45454545454545453,0.32608695652173914,0.379746835443038,46.0
Western,0.7333333333333333,0.36666666666666664,0.4888888888888889,30.0
micro avg,0.6441893830703013,0.3462724935732648,0.4504263501086775,3890.0
macro avg,0.6206377422240191,0.30124215065795595,0.3882503182703945,3890.0
weighted avg,0.6376097287184008,0.3462724935732648,0.4398770664557716,3890.0
samples avg,0.6527800490596893,0.37057460317460317,0.40690846560846555,3890.0
