,precision,recall,f1-score,support
Action,0.7043010752688172,0.32997481108312343,0.44939965694682676,397.0
Adventure,0.5625,0.03501945525291829,0.06593406593406594,257.0
Animation,0.6428571428571429,0.18120805369127516,0.28272251308900526,149.0
Comedy,0.6256684491978609,0.2422360248447205,0.3492537313432836,483.0
Crime,0.6304347826086957,0.29743589743589743,0.40418118466898956,195.0
Documentary,0.7142857142857143,0.16129032258064516,0.2631578947368421,31.0
Drama,0.6782006920415224,0.3305227655986509,0.4444444444444444,593.0
Family,0.5945945945945946,0.205607476635514,0.3055555555555556,214.0
Fantasy,0.7142857142857143,0.17964071856287425,0.28708133971291866,167.0
History,,0.0,0.0,69.0
Horror,0.6710526315789473,0.23943661971830985,0.35294117647058826,213.0
Music,0.5555555555555556,0.4166666666666667,0.47619047619047616,48.0
Mystery,0.8,0.03225806451612903,0.06201550387596899,124.0
Romance,0.5952380952380952,0.2066115702479339,0.3067484662576687,242.0
Science Fiction,0.75,0.2681564245810056,0.3950617283950617,179.0
TV Movie,,0.0,0.0,48.0
Thriller,0.6270270270270271,0.28641975308641976,0.39322033898305087,405.0
War,0.3333333333333333,0.10869565217391304,0.16393442622950818,46.0
Western,0.875,0.23333333333333334,0.3684210526315789,30.0
micro avg,0.6519886363636364,0.2359897172236504,0.3465458663646659,3890.0
macro avg,0.6514314592866484,0.19760597947417527,0.2826454502876754,3890.0
weighted avg,0.6516196621550531,0.2359897172236504,0.33381818662789725,3890.0
samples avg,0.6671080508474576,0.2573285714285714,0.2967365079365079,3890.0
