id,overview,genres
0,attempt save famili inadvert alter futur becom trap realiti gener zod return super hero turn order save world return futur know hope race life make ultim sacrific enough reset univers ,"Action, Adventure, Science Fiction"
1,time live color seemingli perfect world land howev get chanc go real world soon discov joy peril live among human ,"Comedy, Adventure, Fantasy"
2,new threat capabl destroy entir planet emerg optimu prime autobot must team power faction known maxim fate human hang balanc human whatev take help transform engag ultim battl save earth ,"Action, Adventure, Science Fiction"
3,youngest triton daughter defiant long find world beyond sea visit surfac fall dash mermaid forbidden interact human make deal evil sea witch give chanc experi life land ultim place life father crown jeopardi ,"Adventure, Family, Fantasy, Romance"
4,gillman sweet awkward high school student discov direct descend warrior kraken queen kraken sworn protect ocean world vain power hungri mermaid destin inherit throne command grandmoth must use newfound power protect love ,"Animation, Family, Fantasy, Comedy"
5,still reel loss gamora must ralli team around defend univers along protect one mission complet success could quit possibl lead end guardian know ,"Science Fiction, Adventure, Action"
6,mani mission imposs odd toretto famili outsmart nerv outdriven everi foe path confront lethal oppon ever face terrifi threat emerg shadow past fuel blood reveng determin shatter famili destroy everyth everyon love forev ,"Action, Crime, Thriller"
7,gun navi seal master chief must guid child safeti gauntlet hostil taliban insurg surviv brutal afghanistan wilder ,"Action, Drama, War"
8,stori j oppenheim role develop atom bomb world war ii ,"Drama, History"
9,stori ballard former us govern agent quit job order devot life rescu children global sex traffick ,"Action, Drama"
10,headstrong street orphan seiya search abduct sister unwittingli tap hidden power discov might person aliv protect reincarn goddess sent watch human let past go embrac destini becom knight zodiac ,"Fantasy, Action, Adventure"
11,work underground fix water main brooklyn plumber brother transport mysteri pipe wander magic new world brother separ embark epic quest find ,"Animation, Family, Adventure, Fantasy, Comedy"
12,citi fire water land air resid live togeth fieri young woman go flow guy discov someth element much common ,"Animation, Comedy, Family, Fantasy, Romance"
13,reunit brooklyn full time friendli neighborhood spider man catapult across multivers encount spider societi team spider peopl charg protect multivers exist hero clash handl new threat find pit spider must set save love ,"Action, Adventure, Animation, Science Fiction"
14,price head ever increas wick uncov path defeat high tabl earn freedom wick must face new enemi power allianc across globe forc turn old friend foe ,"Action, Thriller, Crime"
15,parapsychologist rainier team travel five key nm investig man claim haunt terror soon strike rainier realiz hous live famili old home ,"Horror, Mystery, Thriller"
16,frustrat scroll date app end lame tediou date noa take chanc give number awkwardli charm produc section meet cute groceri store ,"Horror, Thriller, Comedy"
17,marri coupl brink divorc becom trap quicksand hike colombian rainforest struggl surviv battl element jungl must work togeth order escap ,"Thriller, Horror"
18,base true event novel name vice detect hightow find ex wife murder daughter kidnap cult frustrat botch offici investig quit forc infiltr cult hunt leader help cult femal victim escape hardin ,"Action, Crime, Horror"
19,put demon rest colleg age must go deeper ever face famili dark past host new horrifi terror lurk behind red door ,"Horror, Mystery, Thriller"
20,aftermath massiv earthquak california rescu chopper pilot make danger journey across state order rescu estrang daughter ,"Action, Drama, Thriller"
21,diseas kill 98 america children surviv 2 develop superpow place intern camp 16 year old girl escap camp join group teen run govern ,"Action, Adventure, Drama"
22,paranorm investig encount would becom one sensat case file fight soul young boy take beyond anyth ever seen mark first time u histori murder suspect would claim demon possess defens ,"Horror, Mystery, Thriller"
23,straight lace bank manag marri love life bank held infam ghost bandit wed week believ futur law arriv town infam law ,"Romance, Action, Comedy"
24,set decad event first film learn stori famili neytiri kid troubl follow length go keep safe battl fight stay aliv tragedi endur ,"Science Fiction, Adventure, Action"
25,task extract famili merci georgian gangster rake infiltr one world deadliest prison order save extract get hot gangster die heat battl equal ruthless brother track rake team vienna order get reveng ,"Action, Thriller"
26,four thick thiev friend arriv thailand quickli find head fight stay aliv employ uniqu set skill unleash fierc loyalti heart pump battl surviv ,"Action, Comedy, Crime, Adventure"
27,imf team embark danger mission yet track terrifi new weapon threaten human fall wrong hand control futur world fate stake dark forc past close deadli race around globe begin confront mysteri power enemi must consid noth matter mission even live care ,"Action, Adventure, Thriller"
28,exploratori dive deepest depth ocean dare research team spiral chao malevol mine oper threaten mission forc high stake battl surviv ,"Action, Science Fiction, Horror"
29,crack epidem two narcot agent hunt cop killer hope lead moran thorton pay junki inform provid wife son moran involv stool pigeon deadli scheme caus partner come scrutini suspici intern affair agent ,"Mystery, Thriller, Action"
30,stormi night scottish highland two crimin brother run seek refug desol farmhous take resid famili captiv find hous hold even darker secret ,"Horror, Crime, Thriller"
31,three young astronom fight surviv deadli martian invas ,"Science Fiction, Mystery, Thriller"
32,oilman sturg idyl famili vacat turn nightmar encount feroci megalodon shark stop noth protect territori strand constant attack famili must somehow find way get famili back shore aliv strike epic battl human natur ,"Horror, Thriller"
33,justic leagu loos associ superpow individu swept away warworld place unend brutal gladiatori combat batman superman wonder woman other must somehow unit form unbeat resist abl lead entir planet freedom ,"Animation, Action, Science Fiction"
